assets.artemis_id,Custom.metrics,Count of assets.symbol
canto,ATL_DATE,1
canto,CIRC_SUPPLY,1
canto,CMC,1
canto,DEX_VOLUMES,1
canto,FDMC,1
canto,FDV,1
canto,FEES,1
canto,MAX_SUPPLY,1
canto,MC,1
canto,PRICE,1
canto,STABLECOIN_GROWTH,1
canto,STABLECOIN_MC,1
canto,TOT_SUPPLY,1
canto,TVL,1
canto,WEEKLY_COMMITS_CORE,1
canto,WEEKLY_COMMITS_SUB,1
canto,WEEKLY_DEVS_CORE,1
canto,WEEKLY_DEVS_SUB,1
cardano,24H_MC_CHG,1
cardano,24H_MC_CHG_PCT,1
cardano,24H_PRICE_CHG,1
cardano,24H_PRICE_CHG_PCT,1
cardano,24H_PRICE_HIGH,1
cardano,24H_PRICE_LOW,1
cardano,24H_VOLUME,1
cardano,30D_PRICE_CHG_PCT,1
cardano,30D_VOLUME,1
cardano,7D_PRICE_CHG_PCT,1
cardano,ATH,1
cardano,ATH_CHG_PCT,1
cardano,ATH_DATE,1
cardano,ATL,1
cardano,ATL_CHG_PCT,1
cardano,ATL_DATE,1
cardano,CIRC_SUPPLY,1
cardano,CMC,1
cardano,DAILY_TXNS,1
cardano,DAU,1
cardano,DEX_VOLUMES,1
cardano,FDMC,1
cardano,FDV,1
cardano,FEES,1
cardano,MAX_SUPPLY,1
cardano,MC,1
cardano,NEW_TWITTER_FOLLOWERS,1
cardano,PRICE,1
cardano,REVENUE,1
cardano,STABLECOIN_GROWTH,1
cardano,STABLECOIN_MC,1
cardano,TOT_SUPPLY,1
cardano,TVL,1
cardano,TWITTER_FOLLOWERS,1
cardano,WEEKLY_COMMITS_CORE,1
cardano,WEEKLY_COMMITS_SUB,1
cardano,WEEKLY_DEVS_CORE,1
cardano,WEEKLY_DEVS_SUB,1
celestia,24H_MC_CHG,1
celestia,24H_MC_CHG_PCT,1
celestia,24H_PRICE_CHG,1
celestia,24H_PRICE_CHG_PCT,1
celestia,24H_PRICE_HIGH,1
celestia,24H_PRICE_LOW,1
celestia,24H_VOLUME,1
celestia,30D_PRICE_CHG_PCT,1
celestia,30D_VOLUME,1
celestia,7D_PRICE_CHG_PCT,1
celestia,ATH,1
celestia,ATH_CHG_PCT,1
celestia,ATH_DATE,1
celestia,ATL,1
celestia,ATL_CHG_PCT,1
celestia,ATL_DATE,1
celestia,CIRC_SUPPLY,1
celestia,CMC,1
celestia,DAILY_TXNS,1
celestia,FDMC,1
celestia,FDV,1
celestia,MAX_SUPPLY,1
celestia,MC,1
celestia,MINTS,1
celestia,PRICE,1
celestia,TOT_SUPPLY,1
celestia,WEEKLY_COMMITS_CORE,1
celestia,WEEKLY_COMMITS_SUB,1
celestia,WEEKLY_DEVS_CORE,1
celestia,WEEKLY_DEVS_SUB,1
chiliz,24H_MC_CHG,1
chiliz,24H_MC_CHG_PCT,1
chiliz,24H_PRICE_CHG,1
chiliz,24H_PRICE_CHG_PCT,1
chiliz,24H_PRICE_HIGH,1
chiliz,24H_PRICE_LOW,1
chiliz,24H_VOLUME,1
chiliz,30D_PRICE_CHG_PCT,1
chiliz,30D_VOLUME,1
chiliz,7D_PRICE_CHG_PCT,1
chiliz,ATH,1
chiliz,ATH_CHG_PCT,1
chiliz,ATH_DATE,1
chiliz,ATL,1
chiliz,ATL_CHG_PCT,1
chiliz,ATL_DATE,1
chiliz,CIRC_SUPPLY,1
chiliz,CMC,1
chiliz,FDMC,1
chiliz,FDV,1
chiliz,MAX_SUPPLY,1
chiliz,MC,1
chiliz,PRICE,1
chiliz,TOT_SUPPLY,1
chiliz,TRADING_VOLUME,1
chiliz,WEEKLY_COMMITS_CORE,1
chiliz,WEEKLY_DEVS_CORE,1
compound,24H_MC_CHG,1
compound,24H_MC_CHG_PCT,1
compound,24H_PRICE_CHG,1
compound,24H_PRICE_CHG_PCT,1
compound,24H_PRICE_HIGH,1
compound,24H_PRICE_LOW,1
compound,24H_VOLUME,1
compound,30D_PRICE_CHG_PCT,1
compound,30D_VOLUME,1
compound,7D_PRICE_CHG_PCT,1
compound,ATH,1
compound,ATH_CHG_PCT,1
compound,ATH_DATE,1
compound,ATL,1
compound,ATL_CHG_PCT,1
compound,ATL_DATE,1
compound,BORROWS,1
compound,CIRC_SUPPLY,1
compound,CMC,1
compound,DEPOSITS,1
compound,FDMC,1
compound,FDV,1
compound,MAX_SUPPLY,1
compound,MC,1
compound,PRICE,1
compound,TOT_SUPPLY,1
compound,WEEKLY_COMMITS_CORE,1
compound,WEEKLY_DEVS_CORE,1
cosmoshub,24H_MC_CHG,1
cosmoshub,24H_MC_CHG_PCT,1
cosmoshub,24H_PRICE_CHG,1
cosmoshub,24H_PRICE_CHG_PCT,1
cosmoshub,24H_PRICE_HIGH,1
cosmoshub,24H_PRICE_LOW,1
cosmoshub,24H_VOLUME,1
cosmoshub,30D_PRICE_CHG_PCT,1
cosmoshub,30D_VOLUME,1
cosmoshub,7D_PRICE_CHG_PCT,1
cosmoshub,ATH,1
cosmoshub,ATH_CHG_PCT,1
cosmoshub,ATH_DATE,1
cosmoshub,ATL,1
cosmoshub,ATL_CHG_PCT,1
cosmoshub,ATL_DATE,1
cosmoshub,CIRC_SUPPLY,1
cosmoshub,CMC,1
cosmoshub,DAILY_TXNS,1
cosmoshub,DAU,1
cosmoshub,FDMC,1
cosmoshub,FDV,1
cosmoshub,FEES,1
cosmoshub,MAX_SUPPLY,1
cosmoshub,MC,1
cosmoshub,NEW_TWITTER_FOLLOWERS,1
cosmoshub,PRICE,1
cosmoshub,REVENUE,1
cosmoshub,TOT_SUPPLY,1
cosmoshub,TVL,1
cosmoshub,TWITTER_FOLLOWERS,1
cosmoshub,WEEKLY_COMMITS_CORE,1
cosmoshub,WEEKLY_COMMITS_SUB,1
cosmoshub,WEEKLY_DEVS_CORE,1
cosmoshub,WEEKLY_DEVS_SUB,1
crypto-raiders,24H_MC_CHG,1
crypto-raiders,24H_MC_CHG_PCT,1
crypto-raiders,24H_PRICE_CHG,1
crypto-raiders,24H_PRICE_CHG_PCT,1
crypto-raiders,24H_PRICE_HIGH,1
crypto-raiders,24H_PRICE_LOW,1
crypto-raiders,24H_VOLUME,1
crypto-raiders,30D_PRICE_CHG_PCT,1
crypto-raiders,30D_VOLUME,1
crypto-raiders,7D_PRICE_CHG_PCT,1
crypto-raiders,ATH,1
crypto-raiders,ATH_CHG_PCT,1
